Date,Description,Amount
2026-04-02,SWIGGY*BLR8821,450.00
2026-04-03,AMAZON.IN,1200.00
2026-04-05,NETFLIX.COM,499.00
2026-04-07,UBER*TRIP2234,180.00
2026-04-10,BIGBASKET,2300.00
2026-04-12,ZOMATO*ORDER,380.00
2026-04-15,SALARY CREDIT,50000.00
2026-04-18,AIRTEL PAYMENT,699.00
2026-04-20,SPOTIFY,119.00
2026-04-22,BOOKMYSHOW,600.00
2026-05-02,SWIGGY*DEL1123,480.00
2026-05-03,AMAZON.IN,3200.00
2026-05-05,NETFLIX.COM,499.00
2026-05-07,UBER*TRIP5567,220.00
2026-05-10,BIGBASKET,2450.00
2026-05-12,ZOMATO*ORDER,410.00
2026-05-15,SALARY CREDIT,50000.00
2026-05-18,AIRTEL PAYMENT,699.00
2026-05-20,SPOTIFY,119.00
2026-05-25,APOLLO PHARMACY,1500.00
2026-06-02,SWIGGY*BLR9911,520.00
2026-06-03,AMAZON.IN,900.00
2026-06-05,NETFLIX.COM,499.00
2026-06-07,UBER*TRIP7789,190.00
2026-06-10,BIGBASKET,2600.00
2026-06-12,ZOMATO*ORDER,395.00
2026-06-15,SALARY CREDIT,50000.00
2026-06-18,AIRTEL PAYMENT,699.00
2026-06-20,SPOTIFY,119.00
2026-06-22,MAKEMYTRIP FLIGHT,8500.00
